=== BET-104a: n_emit=16 wall=ON@15.0 ===
[UNI] 11500s [POST]: stim=1.00(n=19) ctrl=1.00(n=7)
[UNI] 12000s [POST]: stim=1.00(n=14) ctrl=2.92(n=13)
[UNI] 12500s [POST]: stim=1.00(n=12) ctrl=1.00(n=8)
[UNI] 13000s [POST]: stim=1.26(n=19) ctrl=1.00(n=4)
[UNI] 13500s [POST]: stim=1.00(n=25) ctrl=1.00(n=4)
[UNI] 14000s [POST]: stim=1.00(n=14) ctrl=2.67(n=9)
[UNI] 14500s [POST]: stim=1.00(n=8) ctrl=2.00(n=15)
[UNI] 15000s [POST]: stim=2.00(n=10) ctrl=1.00(n=13)
[UNI] 15500s [POST]: stim=2.07(n=14) ctrl=1.00(n=8)
[UNI] 16000s [POST]: stim=1.00(n=16) ctrl=3.14(n=7)
[UNI] 16500s [POST]: stim=1.00(n=16) ctrl=1.00(n=3)
[UNI] 17000s [POST]: stim=2.76(n=17) ctrl=1.00(n=6)
[UNI] 17500s [POST]: stim=1.56(n=9) ctrl=1.00(n=6)
[UNI] 18000s [POST]: stim=1.00(n=9) ctrl=1.00(n=4)
[UNI] 18500s [POST]: stim=1.45(n=11) ctrl=1.00(n=2)
[UNI] 19000s [POST]: stim=2.00(n=25) ctrl=1.00(n=8)
[UNI] 19500s [POST]: stim=1.38(n=13) ctrl=1.00(n=2)
[UNI] 20000s [POST]: stim=1.00(n=15) ctrl=1.56(n=9)

--- VERDICT ---
fire ratio=5.9 | LOC stim-frac=0.00 LOC post-frac=0.16 UNI post-frac=0.06
T104aa selective firing  : True
T104ab selective potent.  : False (>=0.5)
T104ac persistent recall  : False (>=0.5)
T104ad containment        : True (<0.25)

BET-104a: NULL/FAIL
DONE
